Rank	Word	PoS	Collins	Tag	Definition
350	war	n	5	cet4 cet6 ky zk gk	n. 战争，斗争；冲突，对抗，竞争；军事，战术
351	history	n	5	cet4 cet6 ky ielts zk gk	n. 历史，历史学；历史记录；来历
353	within	i	5	cet4 cet6 ky gk	prep. 在…之内
355	result	n	5	cet4 cet6 ky ielts zk gk	n. 结果；成绩；答案；比赛结果
362	win	v	5	cet4 cet6 ky zk gk	vt. 赢得；在…中获胜；劝诱
363	research	n	5	cet4 cet6 ky ielts zk gk	n. 研究；调查
365	guy	n	4	cet4 ky ielts	n. 男人，家伙
373	force	n	5	cet4 cet6 ky zk gk	n. 力量；武力；魄力；军队
374	offer	v	5	cet4 cet6 ky toefl ielts zk gk	vt. 提供；试图；出价
377	education	n	5	cet4 ky toefl ielts zk gk	n. 教育；教育学；培养
379	although	c	5	cet4 ky zk gk	conj. 虽然，尽管
385	toward	i		cet4 ky zk gk	prep. 向；对于；为了；接近
389	policy	n	5	cet4 cet6 ky ielts zk gk	n. 政策，方针；保险单
392	process	n	5	cet4 cet6 ky toefl ielts gk	vt. 处理；加工
395	consider	v	5	cet4 cet6 ky toefl zk gk	vt. 认为；考虑；细想；考虑到
396	appear	v	5	cet4 ky toefl zk gk	vi. 出现；似乎；显得；[法]出庭
397	actually	r	5	cet4 cet6 toefl	adv. 实际上；事实上
399	probably	r	5	cet4 cet6 zk gk	adv. 大概；或许；很可能
400	human	j	5	cet4 ky toefl ielts zk gk	adj. 人的；人类的
408	sense	n	5	cet4 cet6 ky ielts zk gk	n. 感觉，官能；观念；理智；道理
413	nation	n	5	cet4 cet6 ky gk	n. 国家；民族；国民
417	interest	n	5	cet4 cet6 ky toefl ielts zk gk	n. 兴趣，爱好；利息；趣味；同行
418	death	n	4	cet4 ky zk gk	n. 死；死亡；死神；毁灭
419	course	r	5	cet4 cet6 ky ielts zk gk	n. 进程；过程；道路；一道菜
421	experience	n	5	cet4 cet6 ky ielts zk gk	n. 经验；经历；体验
423	reach	v	5	cet4 cet6 ky zk gk	vi. 达到；延伸；传开；伸出手
424	local	j	5	cet4 cet6 ky ielts gk	n. 当地居民；本地新闻；局部
425	kill	v	5	cet4 ky zk gk	vt. 杀死；扼杀；使终止；抵消
427	remain	v	5	cet4 cet6 ky zk gk	vi. 保持；依然；留下；剩余；逗留；残存
428	effect	n	5	cet4 cet6 ky toefl ielts gk	n. 效果；作用；影响
433	control	n	5	cet4 ky ielts zk gk	n. 控制；管理；抑制；操纵装置
436	perhaps	r	5	cet4 cet6 ky zk gk	adv. 也许；可能
443	former	d	5	cet4 ky toefl ielts gk	adj. 从前的，前者的；前任的
445	major	j	5	cet4 cet6 ky toefl ielts gk	adj. 主要的；主修的；重要的；较多的
447	require	v	4	cet4 cet6 ky zk gk	vt. 要求；需要；命令
452	role	n	5	cet4 cet6 ky toefl ielts zk gk	n. 角色；任务
454	economic	j	5	cet4 cet6 ky toefl ielts	adj. 经济的，经济上的；经济学的
455	effort	n	5	cet4 cet6 ky zk gk	n. 成就；努力
458	rate	n	5	cet4 cet6 ky ielts gk	n. 比率，率；速度；等级；价格
462	drug	n	5	cet4 cet6 ky zk gk	n. 毒品；药；滞销货；麻醉药
464	leader	n	5	cet4 cet6 zk gk	n. 领导者；首领；指挥者
466	voice	n	4	cet4 cet6 ky zk gk	n. 声音；愿望；嗓音；发言权
468	whole	j	5	cet4 cet6 ky zk gk	adj. 完整的；纯粹的
469	police	n	5	cet4 ky ielts zk gk	n. 警察，警方；治安
471	finally	r	4	cet4 ky	adv. 终于；最后；决定性地
475	military	j	5	cet4 cet6 ky toefl	adj. 军事的；军人的；适于战争的
478	less	r	5	cet4 ky gk	adv. 较少地；较小地；更小地
480	decision	n	5	cet4 cet6 ky ielts zk gk	n. 决定，决心；决议
481	explain	v	4	cet4 cet6 ky zk gk	v. 说明；解释
486	view	n	5	cet4 cet6 ky ielts gk	n. 风景；意见；视野；观察
487	relationship	n	4	cet4 cet6 ky ielts gk	n. 关联；关系
494	federal	j	4	cet4 cet6 ky toefl	adj. 联邦的；同盟的
497	difference	n	4	cet4 ky ielts zk gk	n. 差异；不同；争执
500	value	n	5	cet4 cet6 ky ielts zk gk	n. 价值；价格；重要性；值；确切涵义
501	international	j	5	cet4 cet6 ky ielts zk gk	n. 国际比赛；国际性组织
503	action	n	5	cet4 cet6 ky toefl ielts zk gk	n. 行动；活动；功能；情节；战斗
505	model	n	4	cet4 ky ielts zk gk	n. 模型；模范；模特儿；典型；样式
508	society	n	5	cet4 cet6 ky zk gk	n. 社会；社交界；交往；社团
510	tax	n	5	cet4 cet6 ky toefl gk	vt. 向…课税；使负重担
511	director	n	5	cet4 cet6 ky ielts zk gk	n. 人事助理；导演；主任，主管
513	position	n	5	cet4 cet6 ky ielts zk gk	n. 位置，方位；职位，工作；姿态；站位；vt. 安置；把……放在适当位置
514	player	n	5	cet4 cet6 ielts gk	n. 演员；演奏者，表演者；运动员，比赛者；游戏者，做游戏的人
516	especially	r	4	cet4 cet6 ky zk gk	adv. 特别；尤其；格外
517	record	n	5	cet4 cet6 ky ielts zk gk	vt. 记录，记载；将...录音；标明
521	special	j	5	cet4 cet6 ky ielts zk gk	n. 专车；特刊；特价商品；特色菜；特使，特派人员
522	space	n	4	cet4 cet6 ky ielts zk gk	n. 空间；距离；太空
525	support	v	5	cet4 cet6 ky ielts gk	vt. 支持，支撑，支援；赡养，供养；扶持，帮助
526	event	n	5	cet4 ky ielts gk	n. 事件，大事；结果；项目
527	official	n	5	cet4 cet6 ky toefl gk	adj. 正式的；官方的；公务的
532	couple	n	4	cet4 ky toefl zk gk	n. 数个；对；夫妇
533	site	n	4	cet4 cet6 ky toefl ielts	n. 地点；场所；位置
535	project	n	4	cet4 cet6 ky toefl ielts gk	vi. 设计；表达；计划；投射
536	hit	v	5	cet4 cet6 ky ielts zk gk	vt. 袭击；碰撞；打击；偶然发现；伤…的感情
537	base	v	5	cet4 ky gk	n. 底部；垒；基础
538	activity	n	4	cet4 ky ielts zk gk	n. 活动；活跃；行动
542	court	n	2	cet4 cet6 ky toefl gk	n. 法院；朝廷；球场；奉承
543	produce	v	5	cet4 cet6 ky toefl zk gk	vt. 生产；引起；创作
547	oil	n	5	cet4 ky ielts zk gk	n. 油；石油；油画颜料
549	situation	n	5	cet4 cet6 ky zk gk	n. 位置；形势；情况；处境
552	industry	n	5	cet4 cet6 ky ielts zk gk	n. 工业；产业；勤勉
553	figure	n	5	cet4 cet6 ky toefl ielts gk	n. 图形；数字；（人的）体形；人物；画像；价格
556	image	n	4	cet4 cet6 ky toefl ielts	n. 影像；肖像；想象；偶像
558	phone	n	4	cet4 ky ielts zk	n. 电话；耳机，听筒
560	data	n	4	cet4 ky ielts gk	n. 资料；数据（datum的复数）
568	recent	j	5	cet4 cet6 ky toefl zk gk	adj. 最近的；近代的
569	describe	v	5	cet4 cet6 ky zk gk	vt. 描述，形容；描绘
570	product	n	5	cet4 cet6 ky ielts gk	n. 产品；结果；作品；乘积
573	patient	n	4	cet4 cet6 ky zk gk	adj. 有耐性的，能容忍的
576	test	n	5	cet4 cet6 ky ielts zk gk	n. 检验；试验
577	movie	n	4	cet4 ky ielts zk gk	n. 电影；电影院；电影业
578	certain	j	3	cet4 ky zk gk	adj. 某一；确信；无疑的；有把握的；必然的
581	personal	j	4	cet4 cet6 ky ielts zk gk	adj. 个人的；身体的；亲自的
586	technology	n	4	cet4 cet6 ky ielts zk gk	n. 工艺；术语；技术
588	step	n	5	cet4 cet6 ky zk gk	n. 步，脚步；步伐；步骤；梯级
591	type	n	4	cet4 cet6 ky ielts gk	n. 类型，品种；样式；模范
592	attention	n	4	cet4 ky toefl ielts zk gk	n. 注意力；关心；立正！（口令）
595	Republican	n	4	cet4 cet6 ky	adj. 共和国的；共和政体的；共和主义的；拥护共和政体的
597	source	n	4	cet4 cet6 ky ielts	n. 来源；原始资料；水源
600	organization	n	4	cet4 cet6 ky ielts gk	n. 组织；机构；团体；体制
601	choose	v	4	cet4 ky toefl zk gk	vt. 选择，决定
602	cause	v	5	cet4 cet6 ky toefl ielts zk gk	n. 原因；事业；目标
606	century	n	5	cet4 cet6 ky ielts zk gk	n. 世纪，百年；（板球）一百分
607	evidence	n	4	cet4 cet6 ky toefl ielts gk	n. 证据，证明；迹象；明显
612	culture	n	4	cet4 cet6 ky toefl ielts zk gk	n. 文化，文明；修养；栽培
613	billion	m	5	cet4 cet6 ky toefl gk	n. 十亿；大量
614	chance	n	5	cet4 ky toefl ielts zk gk	n. 可能性；机会，际遇；运气，侥幸
616	energy	n	4	cet4 cet6 ky ielts zk	n. 精力；能量；活力；精神
617	period	n	4	cet4 cet6 ky toefl ielts zk gk	n. 周期，期间；时期；课时；月经
621	realize	v	4	cet4 cet6 toefl	vt. 实现；了解；将某物卖得；认识到
623	available	j	5	cet4 cet6 ky toefl ielts zk gk	adj. 可利用的；有效的，可得的；空闲的
625	likely	j	5	cet4 cet6 ky gk	adj. 很可能的；合适的；有希望的
626	opportunity	n	4	cet4 cet6 ky toefl ielts	n. 时机，机会
627	term	n	5	cet4 cet6 ky toefl ielts zk gk	n. 学期；术语；条款；期限
630	condition	n	5	cet4 cet6 ky toefl ielts zk gk	n. 条件；情况；环境；身分
631	choice	n	4	cet4 cet6 ky toefl ielts zk gk	n. 选择；选择权；精选品
634	rule	n	5	cet4 cet6 ky toefl ielts zk gk	vi. 统治；裁定；管辖
636	administration	n	4	cet4 cet6 ky toefl ielts gk	n. 管理；行政；行政机构；实施
639	Congress	n	2	cet4 cet6 ky toefl ielts	n. 国会；会议；代表大会；社交
641	campaign	n	5	cet4 cet6 ky toefl ielts gk	vi. 作战；参加活动；参加竞选
642	material	n	4	cet4 cet6 ky ielts gk	adj. 物质的，实质性的；重要的；肉体的
643	population	n	4	cet4 cet6 ky ielts zk gk	n. 人口；种群，群体；全体居民
646	economy	n	5	cet4 cet6 ky ielts	n. 节约；经济；理财
647	medical	j	4	cet4 cet6 ky ielts zk gk	adj. 医学的；内科的；药的
649	church	n	4	cet4 ky ielts zk gk	n. 教堂；礼拜；教派
652	risk	n	4	cet4 cet6 ky toefl zk gk	n. 危险；风险；冒险
653	current	j	5	cet4 cet6 ky toefl ielts	adj. 现在的；最近的；草写的；流通的，通用的
657	involve	v	4	cet4 cet6 ky toefl ielts	vt. 包含；牵涉；使陷于；潜心于
659	anyone	p	4	cet4 ky zk gk	pron. 任何人；任何一个
660	increase	v	5	cet4 cet6 ky zk gk	n. 增加，增长；提高
661	security	n	5	cet4 cet6 ky toefl gk	n. 安全；抵押品；证券；保证
667	board	n	4	cet4 cet6 ky toefl ielts zk gk	n. 木板；甲板；膳食；董事会
668	seek	v	5	cet4 cet6 ky gk	vt. 寻找；探索；寻求；搜索
671	officer	n	5	cet4 cet6 ky ielts zk gk	n. 军官，警官；公务员，政府官员；船长
672	private	j	4	cet4 cet6 ky toefl ielts zk gk	adj. 私人的；私有的；私下的
674	behavior	n		cet4 cet6 ky toefl ielts	n. 行为，举止；态度；反应
675	deal	v	3	cet4 cet6 ky toefl zk gk	vt. 发牌；处理；给予；分配
676	performance	n	4	cet4 cet6 ky toefl ielts gk	n. 性能；表演；执行；绩效
677	fight	v	5	cet4 cet6 ky zk gk	vi. 打架；打仗；搏斗，斗争
679	top	n	5	cet4 cet6 ky ielts zk gk	n. 顶部，顶端；上部；首席；陀螺
682	goal	n	4	cet4 cet6 ky toefl ielts gk	n. 目标；终点；球门，得分数
686	author	n	4	cet4 cet6 ky ielts gk	n. 作者；作家；创始人
688	represent	v	4	cet4 cet6 ky toefl ielts gk	vt. 表现；描绘；代表；回忆；再赠送
689	focus	v	4	cet4 cet6 ky toefl ielts gk	n. 焦点；焦距；清晰；中心
691	drop	v	4	cet4 cet6 ky ielts zk gk	vt. 滴；使降低；随口漏出；使终止
693	blood	n	4	cet4 ky ielts zk gk	n. 血，血液；血统
694	upon	i	4	cet4 cet6 ky zk gk	prep. 在…之上；接近；根据
695	agency	n	4	cet4 ky ielts gk	n. 代理，中介；代理处，经销处
697	nature	n	4	cet4 cet6 ky ielts zk gk	n. 自然；性质；种类；本性
698	color	n		cet4 ky ielts	n. 颜色；脸色；肤色；颜料
700	recently	r	4	cet4 cet6 toefl	adv. 最近；新近
702	reduce	v	4	cet4 cet6 ky toefl gk	vt. 减少；降低；把…分解；使处于
708	movement	n	4	cet4 cet6 ky gk	n. 运动；乐章；活动；运转
710	enter	v	4	cet4 ky zk gk	vt. 进入；开始；参加
711	share	v	5	cet4 cet6 ky zk gk	vt. 分享，分担；分配
713	common	j	1	cet4 cet6 ky ielts zk gk	adj. 普通的；共同的；通常的；一般的
716	natural	j	4	cet4 cet6 ky toefl ielts zk gk	adj. 自然的；不做作的；天生的；物质的
717	race	n	5	cet4 cet6 ky toefl zk gk	n. 种族，人种；家庭，门弟；属，种
718	concern	n	5	cet4 cet6 ky ielts gk	vt. 涉及，关系到；使担心
719	series	n	4	cet4 cet6 ky ielts	n. 系列，连续；丛书；[电]串联；[数]级数
720	significant	j	4	cet4 cet6 ky toefl ielts	adj. 重大的；有意义的；有效的；值得注意的；意味深长的
726	response	n	4	cet4 cet6 ky ielts	n. 响应；反应；回答
728	rise	v	5	cet4 cet6 ky zk gk	vi. 上升；起立；高耸；增强
730	factor	n	4	cet4 ky toefl ielts	n. 因素；因数；要素；代理人
731	decade	n	4	cet4 cet6 ky ielts gk	n. 十年，十年期；十
732	article	n	4	cet4 ky toefl ielts zk gk	n. 物品；文章；冠词；条款
733	shoot	v	4	cet4 cet6 ky gk	vt. 拍摄；给…注射；射击，射中；发芽；使爆炸
735	save	v	5	cet4 cet6 ky toefl zk gk	vt. 节省；保存；解救；储蓄
737	artist	n	4	cet4 ky gk	n. 艺术家；美术家（尤指画家）；大师
739	scene	n	4	cet4 cet6 ky toefl gk	n. 情景；景象；场面；事件
740	stock	n	5	cet4 cet6 ky toefl ielts	n. 股份，股票；血统；树干；库存
741	career	n	4	cet4 ky toefl ielts	n. 事业，职业；生涯
742	despite	i	4	cet4 cet6 ky	prep. 尽管，不管
743	central	j	5	cet4 cet6 ky ielts gk	adj. 中心的；主要的；中枢的
745	thus	r	4	cet4 cet6 ky gk	adv. 因此；这样；从而；如此
746	treatment	n	4	cet4 cet6 toefl ielts zk gk	n. 治疗，疗法；处理；对待
747	beyond	i	4	cet4 ky zk gk	prep. 超过；越过；在...较远的一边；那一边
749	exactly	r	3	cet4 gk	adv. 精确地；正确地；正是；恰好地
750	protect	v	4	cet4 cet6 ky zk gk	vt. 保护，防卫；警戒
751	approach	n	4	cet4 cet6 ky toefl ielts gk	n. 接近；方法；途径
755	fund	n	5	cet4 cet6 ky toefl	n. 资金；基金；存款
756	serious	j	5	cet4 cet6 ky toefl ielts zk gk	adj. 严肃的，严重的；认真的；庄重的；危急的
757	occur	v	4	cet4 cet6 ky toefl ielts gk	vi. 发生；出现；存在
758	media	n	4	cet4 cet6 toefl ielts gk	n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
760	sign	n	5	cet4 cet6 ky ielts gk	n. 符号；记号；迹象；手势
761	thought	n	5	cet4 cet6 ky toefl ielts zk gk	n. 思想；关心；想法；思考
762	list	n	5	cet4 cet6 ky ielts zk gk	n. 列表；目录；清单
763	individual	n	4	cet4 cet6 ky ielts	adj. 个别的；个人的；独特的
765	quality	n	4	cet4 cet6 ky toefl ielts gk	n. 质量，品质；特性；才能
766	pressure	n	5	cet4 cet6 ky toefl ielts gk	n. 压力；压迫，压强
767	accept	v	5	cet4 ky zk gk	vt. 接受；承认；承担；承兑；容纳
770	resource	n	4	cet4 cet6 ky toefl ielts	n. 资源，财力；办法；智谋
771	identify	v	4	cet4 cet6 ky toefl ielts	vt. 识别；确定；使参与；把…看成一样
774	determine	v	4	cet4 cet6 ky toefl gk	vt. 决定；使…下定决心；判决
775	prepare	v	4	cet4 cet6 ky ielts zk gk	vt. 准备；使适合；装备；起草
776	disease	n	4	cet4 cet6 ky ielts zk gk	n. 病，疾病；弊病
777	whatever	d	4	cet4 cet6 ky ielts zk gk	adj. 不管什么样的
778	success	n	4	cet4 cet6 ky zk gk	n. 成功，成就；胜利；大获成功的人或事物
779	argue	v	4	cet4 cet6 ky ielts gk	vi. 争论，辩论；提出理由
781	particularly	r	4	cet4 cet6	adv. 特别地，独特地；详细地，具体地；明确地，细致地
782	amount	n	4	cet4 ky toefl ielts gk	vi. 总计，合计；共计；相当于；产生…结果
783	ability	n	4	cet4 ky toefl ielts zk gk	n. 能力，能耐；才能
784	staff	n	5	cet4 cet6 ky toefl ielts gk	n. 职员；支撑；参谋；棒
785	recognize	v	4	cet4 cet6 ky toefl	vt. 承认；认出，识别
786	indicate	v	4	cet4 cet6 ky toefl gk	vt. 指出；表明；象征；预示
787	character	n	4	cet4 cet6 ky toefl gk	n. 字符；特性；角色；性格，品质
788	growth	n	4	cet4 cet6 ky ielts gk	n. 生长；增长；发展；种植
789	loss	n	4	cet4 cet6 ky ielts gk	n. 遗失；亏损；失败；减少
790	degree	n	4	cet4 cet6 ky ielts zk gk	n. 程度，等级；度；学位；阶层
791	wonder	v	4	cet4 cet6 ky toefl zk gk	n. 惊奇；奇迹；惊愕
792	attack	n	5	cet4 cet6 ky ielts gk	n. 攻击；抨击；疾病发作
794	region	n	4	cet4 cet6 ky ielts	n. 地区；范围；部位
798	training	n		cet4 cet6 ky ielts zk gk	n. 训练；培养；瞄准；整枝
799	pretty	r	4	cet4 cet6 ky zk gk	adj. 漂亮的；可爱的；优美的
800	trade	n	5	cet4 cet6 ky ielts zk gk	n. 贸易，交易；行业；职业
802	election	n	5	cet4 cet6 toefl	n. 选举；当选；选择权；[宗]上帝的选拔
804	physical	j	4	cet4 cet6 ky ielts gk	adj. 身体的；物质的；物理的
805	lay	v	4	cet4 cet6 ky toefl ielts zk gk	vt. 搁放；躺下；产卵
806	general	j	5	cet4 cet6 ky toefl ielts zk gk	adj. 一般的，普通的；综合的；大体的
807	feeling	n	4	cet4 ky zk gk	n. 感觉，触觉；感情，情绪；同情
808	standard	n	4	cet4 cet6 ky toefl ielts zk gk	n. 标准；度量衡标准；旗；水准
809	bill	n	4	cet4 ky toefl ielts zk gk	n. 帐单；法案；广告；钞票；票据；清单
810	message	n	4	cet4 cet6 ky zk gk	n. 消息；预言；启示；广告词；差使
814	analysis	n	3	cet4 cet6 ky toefl ielts gk	n. 分析；分解；验定
815	benefit	n	4	cet4 cet6 ky toefl ielts gk	n. 利益，好处；救济金
817	sex	n	4	cet4 cet6 ky ielts gk	n. 性别；性；色情；性行为
819	lawyer	n	4	cet4 cet6 ky ielts gk	n. 律师；法学家
821	section	n	4	cet4 cet6 ky toefl ielts gk	n. 章节；地区；截面；部门
825	skill	n	4	cet4 cet6 ky ielts zk gk	n. 技能，技巧；本领，技术
828	professor	n	4	cet4 cet6 ky ielts gk	n. 教授；教师；公开表示信仰的人
829	operation	n	5	cet4 cet6 ky zk gk	n. 操作；手术；经营；运算
830	financial	j	5	cet4 cet6 ky toefl ielts	adj. 财政的，财务的；金融的
831	crime	n	4	cet4 cet6 ky ielts gk	n. 罪行，犯罪；罪恶；犯罪活动
832	stage	n	5	cet4 cet6 ky ielts gk	n. 舞台；戏剧；驿站；阶段
834	compare	v	3	cet4 cet6 ky toefl ielts zk gk	vt. 比较；对照；比喻为
835	authority	n	5	cet4 cet6 ky toefl ielts gk	n. 权威；权力；当局
837	design	n	5	cet4 cet6 ky toefl ielts gk	vt. 设计；计划；构思
838	sort	n	5	cet4 cet6 ky toefl ielts zk gk	n. 种类；方式；品质
840	act	v	5	cet4 ky zk gk	vt. 扮演；装作，举动像
842	knowledge	n	4	cet4 cet6 ky ielts zk gk	n. 知识，学问；知道，认识；[古]学科
843	gun	n	4	cet4 cet6 ky zk gk	n. 枪枝；枪状物；[美俚]持枪歹徒
847	strategy	n	4	cet4 cet6 ky toefl ielts	n. 战略，策略
849	clearly	r		cet4 gk	adv. 明净地；清晰地；无疑地；明显地
851	indeed	r	4	cet4 cet6 ky gk	adv. 真正地；的确；甚至；实在
853	truth	n	4	cet4 cet6 ky toefl zk gk	n. 事实；真理；实质；诚实
856	democratic	j	4	cet4 cet6 ky	adj. 民主的；民主政治的；大众的
858	environment	n	4	cet4 cet6 ky ielts zk gk	n. 环境，外界
862	various	j	4	cet4 cet6 ky toefl ielts gk	adj. 各种各样的；多方面的
863	rather	r	5	cet4 cet6 ky zk gk	adv. 宁可，宁愿；相当
866	executive	n	4	cet4 cet6 ky toefl ielts	adj. 执行的，经营管理的；行政的；经营的
869	prove	v	4	cet4 cet6 ky zk gk	vt. 证明；检验；显示
870	hang	v	4	cet4 cet6 ky toefl ielts zk gk	vt. 绞死；悬挂，垂下；使悬而未决；装饰
871	entire	j	4	cet4 cet6 ky gk	adj. 全部的，整个的；全体的
872	rock	n	4	cet4 cet6 ky ielts zk gk	n. 岩石；暗礁；摇滚乐
877	claim	v	5	cet4 cet6 ky toefl ielts	vi. 提出要求
879	remove	v	4	cet4 cet6 ky toefl gk	vt. 移动，迁移；开除；调动
885	network	n	4	cet4 cet6 ky ielts gk	n. 网络；网状物；广播网
886	legal	j	4	cet4 cet6 ky toefl ielts gk	adj. 法定的；法律的；合法的
887	religious	j	4	cet4 cet6 ky toefl gk	adj. 宗教的；虔诚的；严谨的；修道的
888	cold	j	4	cet4 ky zk gk	adj. 寒冷的；冷淡的，不热情的；失去知觉的
890	final	j	5	cet4 ky toefl ielts zk gk	adj. 最终的；决定性的；不可更改的
891	main	j	5	cet4 cet6 ky ielts zk gk	n. 主要部分，要点；体力；总管道
894	memory	n	4	cet4 cet6 ky toefl zk gk	n. 记忆，记忆力；回忆；内存，存储器
898	cell	n	4	cet4 cet6 ky toefl gk	n. 细胞；电池；蜂房的巢室；单人小室
899	establish	v	4	cet4 cet6 ky ielts	vt. 建立；安置；创办
901	trial	n	4	cet4 cet6 ky toefl ielts gk	n. 试验；磨炼；审讯；努力
902	expert	n	4	cet4 ky ielts gk	adj. 熟练的；内行的；老练的
905	firm	n	5	cet4 cet6 ky toefl ielts gk	adj. 坚定的；结实的；牢固的；严格的
909	management	n	4	cet4 cet6 ky ielts	n. 管理；管理部门；经营手段；管理人员；操纵
911	avoid	v	4	cet4 ky toefl ielts zk gk	vt. 避免；避开，躲避；消除
912	imagine	v	4	cet4 cet6 ky toefl zk gk	vt. 想像；猜想；臆断
914	huge	j	4	cet4 ky zk gk	adj. 巨大的；庞大的；无限的
921	theory	n	4	cet4 cet6 ky ielts gk	n. 理论；原理；学说；推测
922	impact	n	4	cet4 cet6 ky toefl ielts	vt. 撞击；冲突；影响；压紧
923	respond	v	4	cet4 cet6 ky toefl gk	vi. 回答；作出反应；承担责任
924	statement	n	4	cet4 cet6 ky ielts gk	n. 声明；陈述，叙述；报表，清单
925	maintain	v	4	cet4 cet6 ky toefl ielts	vt. 维持；维修；供养；继续；主张
926	charge	n	5	cet4 cet6 ky toefl ielts gk	n. 费用；掌管；控告；负载；电荷；命令
927	popular	j	4	cet4 cet6 ky toefl ielts zk gk	adj. 流行的，通俗的；受欢迎的；大众的；普及的
928	traditional	j	4	cet4 cet6 ielts zk gk	adj. 传统的；惯例的
929	onto	i	3	cet4 ky gk	prep. 在…之上；对…了解；[数]映射到…上
930	reveal	v	4	cet4 cet6 ky toefl	vt. 揭露；显示；透露；泄露
931	direction	n	4	cet4 cet6 ky zk gk	n. 方向；指导；用法说明；趋势
932	weapon	n	4	cet4 cet6 ky toefl ielts	n. 武器，兵器
933	employee	n	4	cet4 cet6 ky toefl ielts	n. 雇员；从业员工
935	contain	v	4	cet4 cet6 ky toefl gk	vt. 包含；容纳；控制；牵制（敌军）
936	peace	n	5	cet4 ky zk gk	n. 和平；和睦；平静；秩序
940	pain	n	4	cet4 cet6 ky gk	n. 疼痛；努力
941	apply	v	4	cet4 cet6 ky toefl ielts gk	vt. 应用；申请；涂，敷
943	measure	n	4	cet4 cet6 ky ielts gk	n. 措施；程度；测量；尺寸
945	shake	v	4	cet4 cet6 ky toefl zk gk	vt. 摇动；动摇；震动
947	interview	n	4	cet4 cet6 ky ielts zk gk	n. 面试，面谈；接见，采访
948	manage	v	4	cet4 cet6 ky zk gk	vt. 管理；经营；设法；控制
951	particular	j	4	cet4 cet6 ky gk	adj. 特别的；独有的；挑剔的；详细的
952	camera	n	4	cet4 cet6 ky ielts zk gk	n. 照相机；摄影机
953	structure	n	4	cet4 cet6 ky	n. 构造；结构；建筑物
954	politics	n	4	cet4 cet6 ky toefl gk	n. 政治，政治学；政治活动；政纲
955	perform	v	4	cet4 cet6 ky toefl gk	vt. 执行；完成；演奏
